-283	-19
-283	-17
-283	-14
-283	-13
-283	-11
-283	-9
-283	-8
-283	-6
-283	-5
-283	-3
-283	-1
-283	0
-283	2
-282	-23
-281	5
-280	-26
-279	-29
-279	5
-278	-31
-277	5
-275	-35
-274	7
-273	-41
-273	7
-272	-42
-271	7
-270	-46
-268	7
-266	-52
-266	7
-265	-55
-265	7
-263	7
-262	-58
-261	7
-259	-63
-258	7
-256	9
-255	-67
-252	-71
-250	-72
-249	9
-248	-74
-245	-77
-244	-78
-244	9
-242	-80
-242	9
-241	-82
-238	-85
-237	9
-235	-87
-234	9
-233	-88
-231	-90
-229	-90
-227	-92
-225	9
-224	-92
-222	-92
-218	11
-216	-96
-214	-96
-214	11
-209	-97
-208	11
-203	-99
-201	-99
-201	13
-199	13
-198	13
-194	14
-192	-99
-191	14
-186	-99
-186	16
-182	-99
-181	16
-176	-101
-176	16
-171	-101
-171	18
-168	-101
-167	18
-165	-101
-161	-101
-158	-101
-157	18
-153	-103
-151	-103
-148	-103
-148	18
-146	-103
-143	18
-140	-105
-137	-105
-130	-107
-127	-108
-124	-108
-122	20
-121	-108
-118	-108
-114	-108
-111	-108
-108	-110
-108	23
-104	-110
-101	23
-99	-110
-96	-110
-90	-110
-84	25
-82	-110
-80	27
-76	-110
-72	27
-71	-110
-69	-110
-66	-110
-63	29
-61	-110
-54	-110
-50	29
-49	-110
-47	29
-43	-110
-38	-110
-35	29
-33	-109
-27	-107
-26	31
-22	-105
-16	-103
-13	31
-10	31
-9	-101
-3	-98
-2	31
0	31
5	-96
5	31
7	31
10	-93
19	31
23	-87
27	31
30	31
32	31
33	-82
35	31
39	33
42	-77
43	33
48	33
50	-74
54	-72
54	33
65	-66
66	35
69	-64
69	35
74	-63
77	35
83	-58
86	36
90	-55
94	-53
97	36
104	-48
108	36
112	-46
117	-43
121	-42
122	36
124	-41
130	-41
134	-39
137	-37
137	36
139	-37
140	-37
142	-36
145	-35
147	-34
149	-33
151	-32
154	-31
155	35
158	-30
162	-28
162	-27
163	34
165	-27
168	34
171	-25
174	-23
175	34
176	-22
179	-22
180	19
181	32
182	-20
183	19
184	-19
186	19
186	32
187	-19
190	19
190	31
191	-17
192	-16
193	31
196	18
197	-14
198	28
199	-13
200	-12
200	27
202	-12
202	17
204	26
205	-11
207	-9
207	15
207	23
208	15
209	-8
209	21
210	15
211	-6
212	18
213	-4
213	12
214	-2
215	-1
215	12
216	1
216	3
216	4
216	6
216	9
216	11
216	12
218	11
219	6
219	8
219	9
221	6
223	6
