-93	-65
-93	-63
-93	-62
-93	-60
-93	-59
-93	-57
-93	-55
-93	-54
-93	-52
-93	-49
-93	-47
-93	-46
-93	-44
-92	-42
-92	-39
-92	-38
-92	-36
-90	-31
-88	-28
-86	-23
-86	-22
-84	-18
-83	-13
-81	-12
-81	-10
-79	-7
-79	-3
-77	0
-76	3
-72	7
-70	10
-68	12
-67	12
-63	16
-61	17
-60	21
-58	23
-56	23
-56	24
-56	27
-56	29
-56	32
-56	35
-56	37
-56	40
-56	42
-56	45
-56	47
-56	48
-56	51
-56	53
-56	56
-56	59
-55	61
-55	63
-53	65
-53	66
-51	70
-48	73
-46	75
-44	76
-42	78
-41	81
-39	83
-37	87
-35	88
-32	92
-31	118
-31	120
-31	123
-31	124
-31	126
-31	129
-31	132
-31	134
-31	136
-31	139
-31	142
-31	145
-31	147
-31	150
-31	152
-31	155
-31	156
-31	158
-30	94
-30	95
-29	99
-29	100
-29	103
-29	107
-29	108
-29	111
-29	113
-29	115
